"","Column","lat","lng","label_place_of_publication","X20","city","country","language","dates_of_reprints","date","Column1","date.3","cartodb_id","translator_s","title","publisher","number_of_printings_and_or_editions","sales_figures_if_known","link_to_cover","link_to_sound_file_of_title","notes","source__w__worldcat__it__index_translationum","X_column","Column.23"
"14",NA,-16.5295943447306,-68.0926039294684,"La Paz","La Paz","La Paz","Bolivia","Spanish","0",1851,"###############################################################################################################################################################################################################################################################","",NA,"Unknown","Juana Eyre: memorias de un aya / Jane Eyre: Memoirs of a Governess","La Época / Imprenta Paceña","",NA,"","","Serialisation in the newspaper La Época. This translation is probably a reprint of Havana 1850-1851. Source: Jay Dillon Rare Books + Manuscripts","",NA,""
"15",NA,22.9738345079625,-81.5621922167968,"Matanzas","Matanzas","Matanzas","Cuba","Spanish","0",1851,"###############################################################################################################################################################################################################################################################","",NA,"Unknown","Juana Eyre: memorias de un aya / Jane Eyre: Memoirs of a Governess","Imprenta de gobierno por S. M.","",NA,"","","This translation is probably an incomplete reprint of Havana 1850-1851. Source: Jay Dillon Rare Books + Manuscripts","",NA,""
"16",121,51.3345947086041,12.3294929163915,"Leipzig","Leipzig","Leipzig","Germany","German","0",1853,"###############################################################################################################################################################################################################################################################","",122,"A. Heinrich","Jane Eyre oder die Waise von Lowood / Jane Eyre or the Orphan of Lowood","Hartleben","1",NA,"","","Publication between 1853 and 1858","",NA,""
"17",104,48.7988135215618,2.28787846608443,"Paris","Paris","Paris","France","French","1862, 1883, 1897, 1900, 1903, 1908, 1912, 1920, 1947, 1949, 1965, 1970, 2008, 2010, 2011, 2013, 2014",1854,"###############################################################################################################################################################################################################################################################","",92,"Noémi Lesbazeilles-Souvestre","Jeanne Eyre ou les mémoires d'une institutrice / Jane Eyre or the Memoirs of a Governess","D. Giraud, Paris","17",NA,"","https://www.dropbox.com/s/p2c4h2u82624iqq/1854%20Lesbazeilles%20Souvestre.m4a?dl=0 https://www.dropbox.com/s/rzafd3u6hkptz0t/1862%20Lesbazeilles%20Souvestre.m4a?dl=0","From 1862 onwards the title becomes Jane Eyre ou les mémoires d'une institutrice","",NA,""
"18",22,48.7973511833489,2.37472127695923,"Paris","Paris","Paris","France","French ","0",1855,"###############################################################################################################################################################################################################################################################","",23,"Old-Nick (Pseudonym of Paul Émile Daurand Forgues)","Jane Eyre ou Mémoires d’une gouvernante / Jane Eyre or Memoirs of a Governess","Hachette et Cie","3",NA,"","https://www.dropbox.com/s/zjowiz0xjws6frs/1849%20Paul%20Emile%20Daurand%20Forgues.mp3?dl=0","First Paris edition, in Hachette's  Bibliothèque des Chemins de Fer (Railway Library), of the version originally published in Brussels in 1849. The pseudonym 'Old-Nick' now has a hyphen. ","",NA,""
"19",116,53.6772974414102,9.79458637190174,"Altona","Hamburg","Hamburg","Germany","German","0",1855,"###############################################################################################################################################################################################################################################################","",106,"Unknown","Jane Eyre, die Waise von Lowood / Jane Eyre the Orphan of Lowood","Heilbutt","1",NA,"","","","",NA,""
"20",481,59.860305934214,17.5821744634229,"Upsala","Upsala","Upsala","Sweden","Swedish","0",1855,"###############################################################################################################################################################################################################################################################","",481,"Unknown","Jane Eyre: Sjelfbiografi / Jane Eyre: Autobiography ","","1",NA,"","","","WorldCat",NA,""
"21",372,59.8884778800431,30.2901561032348,"St Petersburg","St Petersburg","St Petersburg","Russia","Russian","0",1857,"###############################################################################################################################################################################################################################################################","",372,"S. I. Koshlakova","Дженни Эйръ или записки гувернантки / Dzhenni Ėĭr, ili zapiski guvernantki / Jane Eyre, or The Memoirs of a Governess","Biblioteka dlia dach, parokhodov I zheleznykh dorog.","1",NA,"","","From the 1849 French edition Jane Eyre. Mémoires d'une gouvernante, translated by 'Old Nick' and published in Brussels","",NA,""
"22",NA,52.2999907478903,21.1165824285232,"Warsaw","Warsaw","Warsaw","Poland","Polish","0",1865,"###############################################################################################################################################################################################################################################################","",NA,"Maria Faleńska","Joanna Eyre. Powieść / Jane Eyre. Novel","Tygodnik Mód (weekly – published in instalments)","1",NA,"","","Source: Jay Dillon Rare Books + Manuscripts","",NA,""
"23",157,47.4740720235163,18.9840858216712,"Budapest","Budapest","Budapest","Hungary","Hungarian","0",1873,"###############################################################################################################################################################################################################################################################","",157,"Huszár Imre","Jane Eyre : önéletírás / Jane Eyre: Autobiography ","Légrády","1",NA,"","","","WorldCat",NA,""
